product_name,quantity,price,expiration_date,supplier,location,category,weight,barcode,shelf_life
"Beef - Tongue, Fresh",509,28.64,1/18/2022,Chatterbridge,Apt 537,clothing,45.16,5546772447533,154
"Chilli Paste, Ginger Garlic",498,718.7,2/9/2022,Realbuzz,Suite 74,clothing,74.42,1320018066775,67
"Pasta - Cannelloni, Sheets, Fresh",951,118.52,11/16/2023,Aibox,PO Box 9804,clothing,89.24,9003386394201,187
"Ice - Clear, 300 Lb For Carving",531,86.94,4/10/2022,Oyoloo,PO Box 36329,clothing,91.18,6872270944349,215
Puff Pastry - Sheets,322,580.89,9/26/2023,Zooxo,Room 212,electronics,7.85,9163156996589,31
Tea Peppermint,248,86.09,10/16/2023,Buzzdog,Suite 81,home goods,46.04,5492829599404,362
Pears - Fiorelle,803,500.27,8/27/2022,Photobean,14th Floor,electronics,25.31,5984336883195,114
Beans - French,555,576.71,5/30/2022,Realblab,Suite 81,home goods,55.22,7919230389051,195
Barramundi,200,906.76,5/10/2023,Twinte,Apt 956,electronics,68.54,5296262058123,72
Tomatoes,81,910.63,4/21/2022,Eire,Room 984,home goods,71.82,6900094707471,298
Mussels - Frozen,721,318.9,4/15/2023,Thoughtworks,Room 1018,electronics,72.74,1314623306236,175
Bread - 10 Grain Parisian,411,208.97,1/9/2023,Browsedrive,5th Floor,clothing,18.57,7147200583114,192
"Soup - Campbells, Minestrone",786,875.55,4/17/2023,Blogtag,Room 1980,home goods,24.42,7555453041857,181
Pork - Backs - Boneless,121,477.41,10/10/2023,Brainsphere,Room 924,electronics,47.02,3491363606028,164
Peach - Halves,838,719.93,10/25/2023,Oyonder,Suite 68,clothing,7.98,9406810791465,298
"Pork - Tenderloin, Frozen",771,834.3,8/31/2022,Avaveo,Suite 48,home goods,62.76,9500272265249,125
Oranges,611,61.82,1/12/2023,Buzzster,14th Floor,home goods,59.43,1521921654622,222
Chicken - Whole Fryers,700,862.69,1/15/2022,Linktype,Suite 3,clothing,26.27,4419638773801,20
Yeast Dry - Fermipan,856,558.49,6/7/2023,Devpulse,Room 77,clothing,15.01,4265911757724,178
"Nut - Almond, Blanched, Ground",92,415.5,2/8/2023,Quire,Apt 1175,electronics,77.53,2657189575714,221
Spice - Onion Powder Granulated,946,656.1,1/7/2022,Riffpath,PO Box 42550,clothing,80.72,9879825993809,148
Gelatine Leaves - Bulk,180,886.77,5/12/2022,Livetube,6th Floor,home goods,38.96,8868751595192,257
Towel - Roll White,976,301.93,5/11/2023,Lazzy,Room 999,electronics,23.16,6633784703994,358
Beans - Butter Lrg Lima,865,14.49,1/13/2022,Yambee,Suite 87,clothing,51.8,8061716580010,54
Truffle Shells - White Chocolate,675,399.98,5/13/2023,Flashspan,4th Floor,clothing,5.93,5048371765580,352
Brandy - Bar,143,437.65,8/9/2022,Twitterwire,Room 93,home goods,67.8,2068850893338,49
Pate - Peppercorn,77,772.78,8/22/2023,Devpulse,PO Box 9840,clothing,36.09,8647416725560,297
"Oil - Olive, Extra Virgin",239,224.81,10/27/2022,Plambee,Apt 764,electronics,42.41,2013312161038,190
"Soup - Canadian Pea, Dry Mix",222,253.52,10/22/2022,Centidel,Room 1432,electronics,9.4,2765302534409,352
"7up Diet, 355 Ml",797,606.64,1/26/2022,Kwideo,Apt 1923,electronics,67.68,2971462182045,68
"Rice Pilaf, Dry,package",38,187.27,10/10/2023,Meevee,Suite 96,electronics,12.02,1296546851813,324
Island Oasis - Strawberry,647,324.48,8/23/2023,Twitterbeat,PO Box 46565,electronics,81.14,1894048352138,137
Cranberries - Fresh,972,687.59,3/5/2023,Trudeo,10th Floor,clothing,61.25,6069266802838,209
Soup - French Can Pea,381,966.57,4/5/2022,Mymm,Apt 1596,home goods,20.98,2301245139413,19
French Kiss Vanilla,146,953.7,10/20/2022,Npath,Suite 5,clothing,54.23,2358046341100,88
Brandy Apricot,915,632.71,12/20/2023,Zoombeat,PO Box 18119,home goods,86.62,3664187929942,27
"Rum - Coconut, Malibu",456,675.78,11/24/2023,DabZ,Suite 74,electronics,28.62,9772904201224,347
Ecolab - Solid Fusion,452,92.16,11/2/2022,Jaloo,3rd Floor,home goods,4.01,9848150020107,96
"Veal - Round, Eye Of",542,872.01,7/8/2023,Devpulse,Apt 1820,clothing,87.64,6152821510542,112
"C - Plus, Orange",979,465.44,8/25/2022,Topiczoom,Apt 253,home goods,61.03,9078282415937,175
Wine - Trimbach Pinot Blanc,268,178.39,3/10/2022,Camimbo,20th Floor,home goods,7.52,8910402465693,314
Pastry - Cheese Baked Scones,942,504.69,7/9/2023,Skivee,Suite 26,electronics,45.89,9682395023428,294
Cherries - Fresh,792,376.02,11/8/2023,Brightdog,4th Floor,clothing,27.67,7481060258319,51
Pastry - Baked Cinnamon Stick,708,430.85,3/27/2023,Skyndu,Room 235,electronics,88.54,1177957302242,200
Island Oasis - Sweet And Sour Mix,148,516.36,7/12/2023,Divape,Room 341,clothing,37.29,2290684405163,175
Cheese - Mix,957,532.69,6/26/2023,Twimm,Suite 54,home goods,85.83,8193363277691,142
Squid - Tubes / Tenticles 10/20,419,569.45,1/30/2023,Mita,Suite 67,home goods,25.6,5696230770174,341
Sausage - Andouille,962,663.85,11/26/2022,Jetpulse,Suite 2,electronics,68.74,7578957121444,292
"Bread - Bagels, Plain",87,579.27,12/4/2023,Dazzlesphere,Suite 94,clothing,34.67,7293498593064,90
"Wine - Red, Mosaic Zweigelt",791,975.54,8/6/2022,Katz,Suite 41,home goods,76.51,9321023053343,114
Pork - Ground,732,978.54,11/23/2023,Browsecat,19th Floor,home goods,63.36,5301361050005,240
Wine - Chateauneuf Du Pape,18,144.05,9/5/2022,Npath,Suite 4,clothing,36.89,2762846769439,287
Cheese - Cambozola,990,97.58,1/9/2022,Eadel,Room 1864,home goods,43.72,1041978598694,131
Cranberries - Fresh,297,563.18,9/25/2022,Skyvu,Room 867,clothing,17.86,5474396211793,332
"Wine - White, French Cross",7,619.07,8/29/2023,JumpXS,Suite 58,home goods,35.57,1087737418103,7
Wine - Manischewitz Concord,172,579.16,7/10/2023,Eare,Room 12,electronics,59.77,6665648245414,298
French Kiss Vanilla,899,635.28,10/22/2022,Centizu,16th Floor,clothing,82.25,4951322382315,150
"Vinegar - Balsamic, White",643,665.24,7/3/2022,Edgeclub,Room 389,clothing,95.65,2965157555150,336
Eggplant Oriental,116,913.74,3/15/2022,Demizz,PO Box 45001,clothing,64.82,3347728532093,65
Creamers - 10%,588,965.44,4/13/2023,Camimbo,Apt 1229,clothing,27.88,5317787317845,307
Crackers - Trio,619,426.38,5/10/2023,InnoZ,Apt 261,clothing,24.2,6514583335056,118
Flour - Rye,800,629.51,4/4/2023,Gabspot,Room 1689,electronics,53.08,6444252645905,299
Wine - Pinot Noir Stoneleigh,791,91.27,4/16/2023,Blogtags,Apt 1153,home goods,16.77,1691114532630,163
Jicama,759,95.82,1/25/2022,Pixope,Room 1826,home goods,67.02,1334994304184,45
Cheese - Comte,867,547.07,8/17/2022,Skajo,Apt 1855,home goods,75.34,9685755748235,116
"Pork - Tenderloin, Frozen",977,241.46,2/26/2023,Youopia,PO Box 56373,clothing,64.49,1264374737840,203
Dish Towel,27,236.64,8/12/2023,Centidel,Apt 1081,home goods,70.5,3873175840909,350
Salmon Steak - Cohoe 6 Oz,88,27.17,9/6/2023,Jaxspan,PO Box 90667,clothing,56.32,6297584150688,14
"Beans - Navy, Dry",408,150.28,8/17/2023,Chatterbridge,Apt 906,home goods,97.7,1501507922933,314
"Water - Mineral, Carbonated",716,363.23,10/8/2022,Brainverse,Suite 75,clothing,20.3,7538887157563,301
Lettuce - Green Leaf,781,223.08,6/22/2023,Quimba,PO Box 30575,clothing,25.67,5496708298112,232
Lamb Shoulder Boneless Nz,226,708.39,4/20/2023,Photolist,4th Floor,clothing,29.0,5226482281587,122
Bar - Sweet And Salty Chocolate,6,941.97,4/9/2022,Quinu,Apt 1207,clothing,29.86,9531463075482,207
Mix Pina Colada,569,628.11,4/16/2022,Realcube,Suite 20,home goods,5.68,8541720571567,18
Quail Eggs - Canned,475,584.82,3/2/2022,Katz,Suite 70,home goods,42.14,6764461705067,288
Fish - Bones,834,761.29,5/22/2022,Gabspot,Suite 16,electronics,34.88,6797296731099,361
"Pepper - Red, Finger Hot",897,468.56,3/13/2022,Quimm,PO Box 43338,clothing,42.95,1544893428247,365
Veal - Leg,170,362.69,8/7/2022,Chatterbridge,Apt 1256,electronics,68.21,7775452368370,204
Potatoes - Mini White 3 Oz,704,761.4,11/21/2022,Devpulse,Apt 33,clothing,89.97,2345989173515,342
Table Cloth - 53x69 Colour,692,830.85,3/22/2023,Devpulse,13th Floor,home goods,52.68,2491768438469,112
Sugar - Invert,455,318.82,7/14/2022,Twitterbridge,Suite 16,clothing,85.66,1283335974627,176
Pork Casing,285,107.7,3/28/2023,Geba,13th Floor,clothing,83.86,7748009496517,355
Tomato Paste,984,174.24,12/23/2022,Yakidoo,Room 1130,home goods,82.79,1098600477023,70
Yoghurt Tubes,555,62.91,5/19/2022,Photojam,Room 1045,clothing,30.59,6233402856330,53
Pie Shell - 9,15,422.16,5/20/2023,Skyndu,Apt 1079,electronics,63.24,2796773636762,277
Pastry - Choclate Baked,231,950.36,8/16/2023,JumpXS,Suite 26,clothing,97.5,6027860037086,7
Shiratamako - Rice Flour,140,531.73,6/19/2023,Thoughtstorm,PO Box 79825,electronics,75.18,5466307549980,151
Jerusalem Artichoke,686,810.93,4/26/2022,Trudoo,Apt 186,home goods,8.21,7286180041584,260
Cheese - Pied De Vents,746,783.48,6/1/2022,Gabvine,17th Floor,electronics,87.31,1573781586014,81
Tea - Black Currant,803,73.21,11/7/2022,Miboo,Room 5,clothing,1.63,8384857908229,72
"Soup - Knorr, Classic Can. Chili",957,896.26,4/30/2022,Realpoint,Suite 100,electronics,24.18,4140733487412,132
Cookies - Englishbay Oatmeal,843,771.43,4/28/2023,Yakijo,13th Floor,home goods,37.38,1104396413045,50
Soup - Campbells Beef Strogonoff,628,791.1,3/12/2022,Vinte,Room 312,clothing,62.51,4114513802020,289
Bread - Frozen Basket Variety,906,819.82,10/9/2022,Topdrive,Suite 37,home goods,61.1,8827109408424,290
"Clams - Littleneck, Whole",731,502.98,2/6/2023,Buzzshare,13th Floor,electronics,76.93,3235860744400,286
Uniform Linen Charge,869,631.04,3/3/2023,Twitterbridge,19th Floor,home goods,21.24,5933184453947,111
Soup - Campbells Beef Stew,394,218.61,10/16/2022,Lazzy,Suite 52,electronics,2.15,6745714688844,205
Spaghetti Squash,934,402.49,7/29/2022,Jaxbean,Apt 1944,home goods,18.26,6870070225187,198
Vector Energy Bar,180,315.69,7/1/2023,Katz,PO Box 90203,electronics,50.55,6087314525984,266
Samosa - Veg,523,922.27,3/14/2023,Realbuzz,Room 1920,clothing,88.16,1201187569599,123
Mustard - Individual Pkg,23,521.89,5/18/2023,Flashdog,5th Floor,home goods,72.16,8725543449354,307
Rhubarb,59,848.39,9/12/2022,Camimbo,PO Box 9700,clothing,24.53,6217342254188,258
Currants,563,755.58,8/2/2023,Fivechat,Room 1697,electronics,27.36,7288425771783,93
Kirsch - Schloss,702,480.23,1/24/2022,Talane,18th Floor,electronics,55.8,8448404201937,198
"Wine - Red, Gallo, Merlot",132,873.41,1/19/2023,Yacero,Suite 78,electronics,5.44,4706830599424,112
Assorted Desserts,980,623.83,3/21/2022,Vimbo,Apt 1768,home goods,14.99,7607569930631,364
Sweet Pea Sprouts,115,727.04,9/5/2023,Eare,Apt 1274,home goods,70.28,4046067906048,175
Yogurt - French Vanilla,378,928.39,10/8/2022,Vinte,20th Floor,home goods,36.51,1323695982083,311
Oranges,990,467.69,2/28/2023,Wikibox,5th Floor,electronics,53.95,1389742031200,118
Cookies - Amaretto,298,210.92,3/21/2022,Digitube,Suite 52,clothing,90.56,1459599847704,191
Cake Sheet Combo Party Pack,301,322.6,8/3/2022,Shufflester,PO Box 47798,electronics,14.68,6092986084703,103
Rabbit - Legs,30,76.17,9/24/2022,Layo,9th Floor,electronics,41.57,8201306786511,309
Wine - Port Late Bottled Vintage,338,82.56,5/30/2022,Lazz,20th Floor,electronics,52.45,2368200137332,344
Puree - Blackcurrant,320,707.36,6/22/2022,DabZ,16th Floor,electronics,83.7,3082012126294,114
Honey - Comb,94,606.39,1/9/2022,JumpXS,Suite 46,clothing,21.11,4687838455885,263
Soup - Campbells Beef Noodle,700,912.49,6/20/2022,Ooba,PO Box 375,electronics,96.16,9132105112932,69
Tea - Herbal I Love Lemon,28,934.96,2/7/2022,Voonyx,Suite 85,electronics,37.45,6059893779250,256
Tilapia - Fillets,163,194.03,9/11/2022,Realmix,Room 1585,electronics,4.91,1589013217244,42
Fudge - Cream Fudge,351,559.67,7/16/2023,Jayo,Apt 1355,clothing,14.13,3183331366276,354
"Pepsi - Diet, 355 Ml",296,142.41,6/12/2023,Kare,Room 717,clothing,58.74,1877863755269,37
Versatainer Nc - 9388,784,976.09,11/10/2023,Minyx,Suite 43,electronics,7.0,1899712030968,35
Table Cloth 54x54 Colour,654,136.3,6/10/2023,Brightdog,Apt 266,clothing,26.92,7707409318457,5
"Syrup - Golden, Lyles",828,533.51,7/27/2022,Brainbox,Apt 1512,home goods,19.27,5925193457479,256
Chocolate - Compound Coating,633,133.99,12/30/2023,Janyx,PO Box 51531,home goods,71.53,6542188001824,309
Bagel - Ched Chs Presliced,802,342.92,8/11/2022,Eazzy,Apt 577,electronics,68.58,9180425599046,169
Lettuce - Belgian Endive,500,786.67,4/12/2023,Eimbee,Room 1272,home goods,35.5,9654007936919,10
Mustard - Dijon,535,761.78,3/9/2023,Oyoloo,Apt 1551,clothing,44.0,1542958850782,75
Cranberries - Frozen,738,321.56,5/23/2022,Tagopia,Apt 188,electronics,63.8,5953129852165,239
"Hickory Smoke, Liquid",826,684.59,1/29/2022,Riffpath,Apt 1873,home goods,49.45,4873310702637,149
"Lemonade - Island Tea, 591 Ml",859,566.09,4/8/2023,Izio,11th Floor,electronics,39.11,4757558474176,200
Higashimaru Usukuchi Soy,823,64.49,3/28/2023,Lajo,10th Floor,electronics,73.83,8323323999512,120
Lime Cordial - Roses,405,894.83,10/23/2023,Blogtags,16th Floor,clothing,81.84,9769607121915,10
Nut - Macadamia,256,33.1,4/29/2022,Tagchat,4th Floor,clothing,70.39,3640667793543,359
Sugar - Cubes,235,566.21,2/26/2022,Gigaclub,7th Floor,clothing,52.62,9585427662738,195
Spring Roll Veg Mini,619,794.74,10/17/2022,Devcast,PO Box 60604,clothing,98.73,6706221018024,85
Flour - Chickpea,430,685.17,2/3/2023,Mycat,Room 952,clothing,86.27,1167241883503,251
Sea Bass - Fillets,710,363.68,1/31/2022,Skipstorm,PO Box 22876,electronics,50.79,6245508923586,311
Arizona - Plum Green Tea,645,960.8,9/18/2023,Eimbee,Apt 584,home goods,57.29,5464054050638,86
Flour - Pastry,176,853.25,5/17/2022,Vidoo,Room 1445,home goods,49.9,7916587456012,361
Bread - Raisin Walnut Oval,513,549.04,8/27/2023,Skyvu,PO Box 77145,home goods,56.93,7670916918988,229
Dill Weed - Fresh,802,780.83,5/4/2023,Twitterbeat,Apt 1022,home goods,35.65,2679741541886,156
"Beef - Tenderlion, Center Cut",628,701.9,4/16/2022,Realfire,Room 547,electronics,59.03,5325914169684,89
Cheese - Ricotta,618,702.87,9/17/2022,Teklist,Apt 1547,home goods,26.97,1813795232362,204
"Wine - White, Lindemans Bin 95",360,190.36,3/31/2022,Topicware,Suite 42,clothing,1.69,2427691788662,116
Beets - Golden,229,528.35,6/1/2023,Browseblab,Room 1895,electronics,37.9,3747286972579,24
Bag - Regular Kraft 20 Lb,317,491.88,9/5/2022,Ntag,2nd Floor,electronics,0.89,7840153510830,47
Soup - Base Broth Beef,488,919.59,1/24/2023,Kaymbo,12th Floor,home goods,61.49,3283419615164,170
Capers - Pickled,146,734.65,8/9/2022,Youtags,Apt 1934,clothing,26.28,2426021214576,234
Milk - Condensed,793,221.75,7/27/2022,Jaxworks,Room 863,electronics,9.96,1951310494538,81
"Tendrils - Baby Pea, Organic",420,292.44,7/6/2022,Rhynoodle,2nd Floor,electronics,27.86,3840867879305,15
Oranges,525,146.56,6/23/2023,Oyope,PO Box 91599,clothing,91.73,6450997783800,272
Pike - Frozen Fillet,655,722.08,5/7/2023,Dynabox,PO Box 67329,home goods,83.46,6376115914899,84
"Seedlings - Mix, Organic",515,591.07,9/29/2023,Flashpoint,PO Box 46548,clothing,29.75,5377854113723,186
Bacardi Breezer - Tropical,499,117.65,5/24/2023,Tagfeed,4th Floor,clothing,48.39,9554332161331,112
"Beans - Long, Chinese",126,740.48,7/20/2022,Dynava,PO Box 23683,electronics,88.88,1825974760096,44
Chinese Lemon Pork,939,856.81,11/20/2023,Avaveo,Suite 92,electronics,71.14,3792209314532,142
Beef - Tenderloin Tails,746,222.28,12/6/2022,Tanoodle,PO Box 57593,home goods,4.36,3525737767729,135
Artichokes - Jerusalem,966,456.2,3/24/2022,Dabtype,10th Floor,home goods,1.98,9443321393494,219
"Cheese - Brie, Triple Creme",273,140.12,9/17/2023,InnoZ,Suite 18,electronics,99.78,1652156456373,235
"Nut - Almond, Blanched, Whole",164,548.59,8/11/2023,Oyonder,Suite 82,clothing,3.88,6853733639547,110
Scallops - 20/30,814,476.69,11/30/2023,Twitternation,PO Box 84709,electronics,64.4,9676059866301,285
Chinese Lemon Pork,42,469.73,8/12/2023,Quatz,Room 80,electronics,90.31,4413617359382,116
Flour - Strong,992,510.16,12/19/2022,Skyba,PO Box 32152,clothing,55.51,4546474789740,17
Flounder - Fresh,478,284.29,7/2/2023,Cogilith,Room 967,electronics,87.5,1914386649953,5
Trueblue - Blueberry 12x473ml,283,691.1,1/19/2022,Yodo,PO Box 97590,clothing,44.03,1933324189080,238
"Syrup - Monin, Irish Cream",806,300.63,12/7/2022,Pixope,Suite 45,home goods,85.04,4840365619016,127
Potatoes - Pei 10 Oz,829,327.95,7/18/2023,Fiveclub,Suite 70,electronics,61.5,6685114399240,15
Eggplant - Asian,632,674.49,6/9/2022,Vinte,Room 507,clothing,8.35,7885618469599,205
Mussels - Cultivated,701,514.53,1/5/2022,Pixonyx,Suite 88,electronics,41.81,8627544202907,250
"Wine - Red, Gamay Noir",883,576.74,7/16/2022,Rhybox,Suite 60,home goods,78.0,1344406620751,166
Coffee - Irish Cream,411,212.11,4/14/2022,Dynabox,PO Box 62419,home goods,18.19,8691411864159,255
Longos - Grilled Salmon With Bbq,503,792.29,4/18/2023,Oyondu,Suite 70,clothing,52.09,3428711938317,16
Chutney Sauce,941,481.67,9/11/2022,Kwideo,8th Floor,home goods,33.94,1119944901796,8
Lid Tray - 16in Dome,478,785.36,9/28/2023,Edgeblab,Apt 496,clothing,16.75,2805114532070,223
Longos - Grilled Chicken With,137,554.7,2/23/2023,Realpoint,PO Box 95753,clothing,12.9,9824693061617,70
Cake - Cheese Cake 9 Inch,153,339.67,4/8/2022,Edgeclub,Room 741,electronics,53.51,8107855149516,349
Bread - Multigrain,59,961.19,7/22/2022,Tagopia,Apt 1274,clothing,12.59,3730132710666,341
Pastry - Banana Tea Loaf,264,830.99,3/28/2023,Photofeed,PO Box 64868,home goods,71.72,9199811552099,294
Cookie Chocolate Chip With,649,237.17,2/20/2023,Feedbug,Room 942,electronics,93.28,1207448562845,90
"Cup - 3.5oz, Foam",737,110.93,1/12/2022,Skinder,Suite 63,clothing,16.25,6625797717724,261
Beef Cheek Fresh,967,545.77,7/2/2023,Meejo,Suite 94,home goods,86.06,4321807933049,151
"Pork - Loin, Boneless",46,827.14,4/15/2023,Zoombox,16th Floor,clothing,98.53,8837322738640,328
Cheese - Augre Des Champs,392,34.71,2/4/2023,Meejo,Room 1414,home goods,25.76,7126269657743,301
"Pasta - Cannelloni, Sheets, Fresh",363,696.02,6/3/2022,Zoonoodle,Apt 1653,electronics,27.06,9087089741362,32
Chip - Potato Dill Pickle,548,12.73,11/22/2022,Jazzy,16th Floor,home goods,19.87,5687523346020,151
"Oil - Truffle, White",804,721.49,4/15/2023,Dabjam,Apt 795,home goods,10.05,6251055455799,48
"Chocolate - Pistoles, Lactee, Milk",838,846.7,8/16/2023,Trilith,14th Floor,electronics,26.42,5502103114039,312
"Appetizer - Mini Egg Roll, Shrimp",51,991.24,11/30/2022,Feedmix,Suite 100,clothing,64.75,3673098171729,130
"Lemonade - Mandarin, 591 Ml",239,337.37,12/4/2022,Ooba,14th Floor,clothing,80.87,6199429420900,365
Soup - Base Broth Chix,545,271.69,10/10/2023,Rhyloo,PO Box 34182,electronics,39.59,2628074950652,210
"Liqueur Banana, Ramazzotti",381,597.0,4/19/2022,Zoomdog,Apt 7,electronics,64.16,9820020774922,42
Pear - Prickly,17,977.8,12/1/2022,Yata,Room 688,home goods,13.91,7645847613600,267
Lamb - Shoulder,259,899.41,8/21/2023,Ainyx,Room 1323,electronics,59.61,1028836486418,256
Papadam,698,961.49,9/6/2023,Realcube,PO Box 49136,clothing,28.6,5939345590267,334
Onions - White,280,318.31,11/4/2022,Yodoo,Apt 817,electronics,54.63,8680216009694,253
Wine - Beaujolais Villages,948,408.24,1/22/2022,Vitz,13th Floor,electronics,11.21,1788807413709,312
Bouq All Italian - Primerba,949,308.22,4/4/2022,Myworks,Apt 604,home goods,70.73,7536967166108,159
Dried Peach,678,143.27,5/23/2023,Oyonder,Suite 16,clothing,24.21,6610036306520,205
"Chocolate - Pistoles, Lactee, Milk",400,614.74,1/14/2023,Voomm,Suite 7,electronics,22.02,9178053191043,105
Wine - Chateau Timberlay,851,298.03,7/9/2023,Babblestorm,PO Box 57600,clothing,92.63,4149167223807,320
Pie Pecan,416,976.58,7/26/2023,Bluezoom,PO Box 97220,home goods,9.11,5098306121161,314
"Juice - Tomato, 10 Oz",916,505.61,12/29/2022,Jabbertype,Suite 28,electronics,2.86,5589233967230,169
Ginsing - Fresh,49,840.28,10/7/2022,Kayveo,Room 135,home goods,20.24,9720597344293,267
Beef - Ground Medium,400,609.57,12/16/2022,Janyx,Room 690,home goods,50.4,6976613793493,274
"Halibut - Whole, Fresh",307,588.55,8/22/2023,Viva,18th Floor,home goods,49.39,6961795001949,213
Pears - Bosc,960,99.3,12/31/2022,Kwideo,Suite 49,electronics,11.09,8600414642187,136
"Pasta - Rotini, Dry",530,159.01,3/9/2023,JumpXS,Apt 692,home goods,5.98,5983956565103,322
"Wine - Cahors Ac 2000, Clos",337,709.28,9/20/2023,Bubblemix,Apt 1813,home goods,36.67,6307065844480,343
"Beans - Navy, Dry",64,929.86,5/31/2022,Meemm,Room 1116,home goods,49.61,8120102766837,71
Wine - Remy Pannier Rose,855,299.6,10/16/2023,Tagchat,16th Floor,home goods,97.82,8362267746658,58
Banana - Leaves,205,154.36,10/2/2022,Eimbee,Apt 1906,clothing,59.69,8641565170901,121
"Appetizer - Spring Roll, Veg",268,672.81,12/9/2023,Jaxbean,5th Floor,electronics,50.19,8820300993012,152
Wine - Manischewitz Concord,234,286.14,5/6/2023,Kamba,PO Box 60242,clothing,32.99,8105052556817,324
"Carrots - Purple, Organic",636,923.01,6/28/2022,Avaveo,Apt 1350,clothing,4.03,4057402063358,12
Rum - Mount Gay Eclipes,568,590.9,9/12/2022,Digitube,Suite 7,home goods,74.42,7769889026986,268
Steam Pan Full Lid,77,70.2,8/30/2022,Avavee,Room 1103,home goods,24.49,8834196360770,44
"Soup - Beef Conomme, Dry",858,432.14,6/27/2022,Meeveo,Suite 80,clothing,12.72,6168946002403,120
Cleaner - Lime Away,839,371.59,12/25/2022,Aimbu,Room 1837,home goods,52.02,5797254341018,311
Chocolate - Liqueur Cups With Foil,481,170.18,8/20/2023,Skilith,Apt 1069,clothing,83.27,5872815974371,80
Nantucket - Orange Mango Cktl,153,879.42,3/12/2023,Pixope,Room 600,clothing,84.33,9102435886809,149
"Beef - Tenderlion, Center Cut",907,16.72,6/8/2023,Skinix,Room 1888,electronics,30.11,3316664263598,58
Sauce - Balsamic Viniagrette,924,362.89,2/8/2023,Devify,Room 909,clothing,81.32,7836597296275,346
Corn Syrup,205,682.37,12/14/2022,Photobug,Apt 1989,electronics,45.75,4461126881403,239
Wine - Cave Springs Dry Riesling,549,547.26,3/21/2023,Yoveo,Room 145,clothing,1.45,9512343858940,349
Pail With Metal Handle 16l White,970,412.99,6/8/2022,Leexo,13th Floor,home goods,88.53,9681795105419,344
Remy Red Berry Infusion,203,603.4,10/6/2022,Skinix,PO Box 66950,electronics,55.17,8355525938613,63
Beer - Moosehead,288,434.98,12/30/2022,Twitternation,PO Box 70806,electronics,96.49,2412869793621,59
Glycerine,21,895.32,2/27/2022,Fatz,Room 1590,home goods,33.87,3046869789634,235
Chocolate Bar - Oh Henry,997,262.35,9/26/2022,Realcube,17th Floor,home goods,28.98,7781148467469,27
Veal - Striploin,307,75.44,11/29/2023,Linktype,Apt 1160,home goods,22.02,3134305840596,340
Tomato - Peeled Italian Canned,641,679.73,8/2/2022,Katz,7th Floor,home goods,93.62,9359146933509,224
"Juice - Tomato, 10 Oz",762,939.74,2/2/2022,Mita,Apt 1210,electronics,54.17,5435895712428,352
"Rum - Coconut, Malibu",680,877.2,4/17/2022,Chatterbridge,Apt 219,clothing,95.94,5864256237117,113
"Lemonade - Mandarin, 591 Ml",355,711.06,9/29/2023,Eire,Suite 50,home goods,24.28,7773869202825,1
"Gingerale - Schweppes, 355 Ml",900,700.73,4/12/2022,Aivee,Suite 33,clothing,10.03,1000489972111,360
Nori Sea Weed,624,441.91,6/25/2022,Thoughtstorm,Apt 384,home goods,16.47,4815248745972,110
Yeast Dry - Fleischman,630,225.3,12/3/2023,Jetpulse,Room 1936,electronics,74.91,9455610980649,337
Crab - Imitation Flakes,276,526.83,2/23/2023,Kazu,Apt 6,home goods,26.58,7297017356434,193
Pepperoni Slices,182,722.89,10/19/2022,Twimbo,Suite 4,home goods,41.97,9615551552749,94
Iced Tea Concentrate,388,935.17,2/9/2022,Skyvu,15th Floor,home goods,74.88,6831096786903,83
Pear - Halves,934,379.3,3/15/2022,Flashdog,PO Box 57066,electronics,55.91,4323066034175,317
Mousse - Passion Fruit,555,872.98,11/17/2023,Quaxo,Apt 1749,home goods,48.1,4074058914077,156
Sloe Gin - Mcguinness,740,546.47,11/1/2022,Digitube,Suite 74,clothing,49.34,6472910247426,212
Yams,55,595.17,10/9/2022,Aimbo,Apt 1381,home goods,51.35,4492314644487,59
Lettuce - Iceberg,919,937.35,3/11/2023,Divape,Room 769,clothing,59.6,9751805021985,222
Cookies Almond Hazelnut,368,214.58,4/28/2022,Zoomzone,Suite 87,home goods,57.58,7805157643984,298
Wild Boar - Tenderloin,461,181.16,7/17/2022,Linklinks,Apt 670,electronics,65.33,3524468506362,156
Zucchini - Green,894,834.44,1/5/2022,Kwinu,Apt 1855,home goods,70.59,4504231686654,268
Chicken - Ground,969,303.8,1/4/2023,Meevee,13th Floor,clothing,94.89,6992225835645,102
Duck - Fat,314,436.35,8/17/2023,Pixope,Apt 260,home goods,54.54,2202972767658,155
Oil - Grapeseed Oil,228,788.56,3/3/2022,Realcube,Suite 47,home goods,76.41,5134199025398,121
"Soup - Knorr, Ministrone",665,54.11,8/14/2022,Thoughtmix,PO Box 73397,home goods,92.92,1821093278551,179
Milk - Skim,449,490.0,5/7/2022,Blogtag,Apt 999,home goods,92.28,9109593775055,78
Cookies Cereal Nut,325,483.34,5/12/2023,Flipbug,2nd Floor,home goods,82.16,9483958739803,43
Tomatoes - Yellow Hot House,517,363.44,10/6/2023,Quamba,PO Box 72488,clothing,49.76,5700990098602,231
Flour - Whole Wheat,583,919.35,4/22/2023,Babbleblab,Room 94,clothing,9.64,9357703418904,160
Juice - Apple Cider,543,586.41,8/2/2022,Skiptube,19th Floor,clothing,62.67,5054448664249,13
